type,time,exchange,competitor,odds,backer,layer,stake
Trade,47.3218035697937,0,3,7.120655872389651,5,50,15
Trade,47.32191491127014,0,3,5.547763783193856,52,3,15
Trade,47.322197675704956,0,3,23.36857719713045,52,50,15
Trade,47.3226215839386,0,3,17.849662925354416,52,54,15
Trade,47.32285737991333,0,3,23.368577199661136,52,50,15
Trade,47.33128356933594,0,3,23.368577199661136,52,50,15
Trade,47.346394777297974,0,3,23.368577199661136,52,50,15
Trade,47.36958694458008,0,3,17.849662925354416,52,54,15
Trade,47.39261341094971,0,3,23.368577199661136,52,50,15
Trade,47.42062544822693,0,3,23.368577199661136,52,50,15
Trade,47.43607950210571,0,3,17.849662925354416,52,54,15
Trade,47.455384969711304,0,3,23.368577199661136,52,50,15
Trade,47.47188425064087,0,3,23.368577199661136,52,50,15
Trade,47.51233410835266,0,3,23.368577199661136,52,50,15
Trade,47.524274826049805,0,3,23.368577199661136,52,50,15
Trade,47.537596464157104,0,3,20.0,52,3,15
Trade,47.53800988197327,0,3,20.0,5,50,15
Trade,47.553884983062744,0,3,17.849662925354416,52,54,15
Trade,47.59473276138306,0,3,23.368577199661136,5,50,15
Trade,47.594818115234375,0,3,17.849662925354416,52,54,15
Trade,47.61051869392395,0,3,12.001622734810137,52,51,15
Trade,47.62162709236145,0,3,23.368577199661136,52,50,15
Trade,47.6455934047699,0,3,17.849662925354416,52,54,15
Trade,47.67459058761597,0,3,23.368577199661136,52,50,15
Trade,47.68685531616211,0,3,17.849662925354416,52,54,15
Trade,47.698923110961914,0,3,23.368577199661136,52,50,15
Trade,47.77315402030945,0,3,17.849662925354416,52,54,15
Trade,47.813509464263916,0,3,23.368577199661136,53,50,15
Trade,47.819308042526245,0,3,4.3987393365507454,50,5,15
Trade,48.853630781173706,0,3,1.5295199046902028,53,59,15
Trade,48.869410037994385,0,3,10.142225780579784,3,57,15
Trade,48.905054330825806,0,3,10.142225780579784,5,55,15
Trade,52.13761067390442,0,3,23.468577199661137,54,56,15
Trade,52.18245220184326,0,3,23.468577199661137,54,59,15
Trade,52.25117087364197,0,3,23.468577199661137,50,57,15
Trade,52.367032527923584,0,3,23.468577199661137,52,58,15
Trade,52.45221161842346,0,3,23.468577199661137,52,55,15
Trade,52.50516486167908,0,3,23.368577199661136,52,50,15
Trade,52.58551907539368,0,3,23.368577199661136,52,50,15
Trade,52.633350133895874,0,3,23.368577199661136,52,50,15
Trade,52.66952919960022,0,3,17.849662925354416,53,54,15
Trade,52.68349814414978,0,3,23.368577199661136,52,50,15
Trade,52.724273681640625,0,3,23.368577199661136,52,50,15
Trade,52.72589993476868,0,3,17.849662925354416,53,54,15
